x,y
-0.54,-0.49
2.15,0.14
-1.96,-2.73
-1.77,-1.84
-2.99,-2.55
0.63,1.43
0.87,0.67
-0.93,-0.30
-1.19,-1.92
2.26,1.35
0.80,-1.58
2.72,1.11
-1.31,-1.11
0.61,0.21
1.15,0.92
3.22,3.15
2.17,4.48
-2.01,-1.92
1.12,-0.10
0.42,0.90
-0.44,0.05
1.11,1.61
0.34,-0.65
-0.82,-0.16
1.01,2.29
-1.05,-1.09
-0.43,-0.14
0.34,1.34
0.42,1.46
-1.81,-1.94
-1.59,-1.26
-1.85,-1.90
2.15,2.38
-0.65,-0.61
0.99,0.92
1.62,1.80
-3.47,-2.41
1.18,0.54
2.78,0.72
-0.04,-1.23
-0.30,-0.53
1.95,2.04
-3.24,0.86
-1.95,1.24
3.13,2.81
1.99,2.67
3.73,3.59
1.28,-1.61
-3.50,-3.63
-3.09,-2.51
